Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
1,0,0,0,0,-0.35213572167189633,-0.5544873301529852,-1.1481874976370325,360.0,1.0,2
1,1,1,0,0,-0.3421423809336005,-0.5544873301529852,-0.6003663129770761,360.0,1.0,1
1,1,2,0,0,-0.3380467494834793,0.030355101337316795,0.04272812118895959,360.0,0.0,0
1,1,1,1,0,-0.4505947017328109,-0.04146765340710626,-0.39791065777665746,180.0,0.0,0
1,1,0,0,0,-0.456000935246971,0.2058078307844074,0.04272812118895959,360.0,1.0,1
1,1,2,1,1,-0.5780507524605839,0.08678726577936348,-0.5884571567888162,360.0,1.0,1
1,1,0,0,0,-0.3937473372051281,0.6138294803562965,-1.076732560507473,180.0,1.0,1
1,1,0,0,0,-0.49482752139412034,0.1767367157688076,-1.052914248130953,360.0,1.0,0
0,0,0,0,1,0.3338006335944089,-0.5544873301529852,0.5667309934723961,360.0,1.0,0
1,1,0,0,0,-0.13441195378345122,1.3693364576440608,1.2931895209562512,360.0,1.0,1
1,0,1,0,0,5.294101795465245,-0.5544873301529852,0.06654643356547943,360.0,1.0,1
1,1,0,0,0,1.35099166054652,-0.5544873301529852,0.0,360.0,1.0,2
0,0,1,0,0,-0.41406166919772946,-0.0209468663372711,-0.6718212501066356,360.0,1.0,2
1,0,0,0,0,-0.2708783937014909,1.0700749795422981,0.3523661820837175,360.0,1.0,2
1,1,2,0,0,-0.4620624697931504,0.2424032343922801,-0.2550007835175384,360.0,1.0,0
1,1,0,0,0,0.09772843680942066,0.21504218496583322,1.4122810828388506,360.0,1.0,1
1,0,0,0,0,-0.2027270863714735,1.9114272494055395,0.4476394315897969,360.0,1.0,2
1,0,0,1,0,0.31610750572988516,-0.5544873301529852,-0.31454656445883805,360.0,1.0,0
1,1,3,0,0,-0.17536826828466362,0.06489842623820598,0.1618196830715588,360.0,0.0,2
1,1,2,1,0,-0.18274040489488186,0.5615014733282169,-0.15972753401145906,180.0,1.0,2
1,1,3,0,0,-0.22992207920027855,2.096114333034056,1.7100099875453485,360.0,1.0,1
1,1,0,1,1,-0.11606352488690806,-0.5544873301529852,-0.6003663129770761,342.0,1.0,2
1,1,2,0,0,-0.5502004585997595,-0.0007680923852665297,-0.5408205320357765,360.0,1.0,0
1,1,1,0,1,0.753029468828819,-0.5544873301529852,0.10227390213025919,360.0,1.0,0
1,1,1,1,0,-0.3118347082027033,-0.18408712354246062,-0.1359092216349392,360.0,1.0,2
1,1,0,0,0,0.02695592535132563,0.17810476824012994,0.3404570258954576,360.0,1.0,0
1,1,1,0,0,0.11132593322382317,0.8990684206270051,2.186376235075745,360.0,1.0,2
1,1,2,0,1,0.056116821276188854,-0.5544873301529852,-0.028726815940599934,84.0,1.0,0
1,1,0,0,0,-0.2965989592082523,0.9045406305122945,-0.17163669019971897,180.0,0.0,0
1,1,3,0,0,-0.36638851911831827,0.8135651411693586,0.4000028068367572,300.0,0.0,1
0,0,0,0,0,-0.4756599662075529,-0.5544873301529852,-0.9457318424366138,360.0,1.0,2
0,0,0,0,0,-0.3945664634951524,-0.5544873301529852,-1.0290959357544334,360.0,1.0,2
0,0,0,0,0,-0.25515116893302536,-0.5544873301529852,-0.42172897015317734,360.0,1.0,1
1,0,0,0,0,-0.2982372117883008,-0.5544873301529852,-0.6003663129770761,360.0,1.0,2
1,1,1,1,0,-0.011543010279814025,-0.1676704938865925,0.47145774396631673,360.0,1.0,2
1,1,2,0,0,0.08707979503910543,-0.5544873301529852,-0.15972753401145906,360.0,1.0,1
0,0,0,0,0,-0.2027270863714735,-0.5544873301529852,-0.3621831892118777,360.0,0.0,1
1,1,2,0,0,-0.16439197599833869,-0.5544873301529852,-0.2311824711410186,360.0,0.0,1
1,0,0,0,0,0.09772843680942066,-0.5544873301529852,-0.07636344069363962,360.0,1.0,0
1,0,0,0,0,-0.5713339168823851,1.1771250854232715,-0.9457318424366138,360.0,1.0,0
1,1,1,0,1,-0.7213978532148273,0.4790763119310456,-0.4336381263414372,360.0,1.0,2
1,1,2,0,0,-0.20256326111346865,-0.059594348652127316,0.13800137069503896,360.0,1.0,0
1,0,0,0,0,-0.20813331988563355,-0.5544873301529852,-0.2907282520823182,360.0,1.0,1
1,1,1,0,0,-0.5552790415979099,0.44590103950147875,-0.39791065777665746,360.0,1.0,2
1,0,0,1,0,-0.36278436344221154,0.33406274997087715,-0.31454656445883805,342.0,1.0,0
1,1,3,1,0,-0.3781839376946674,-0.5544873301529852,-0.39791065777665746,360.0,1.0,0
1,1,2,0,0,-0.06609682119542894,0.6996747729317736,1.0669155533793129,360.0,1.0,1
1,1,1,0,0,-0.13441195378345122,-0.03873154846446157,-0.21927331495275867,360.0,1.0,0
0,0,0,0,1,-0.3178962427488828,-0.5544873301529852,-0.2907282520823182,360.0,1.0,2
1,1,0,0,0,0.052840316116091864,1.0170629462785572,1.328916989521031,360.0,1.0,1
0,0,0,0,0,0.47993276373473476,-0.5544873301529852,1.5909184256627493,360.0,1.0,1
1,0,2,0,0,-0.3041349210764754,-0.5544873301529852,-0.7909128119892349,360.0,0.0,0
1,1,1,0,0,1.5038406262650446,-0.5544873301529852,0.4595485877780568,180.0,1.0,0
1,1,2,0,1,0.0022183113925933404,0.8805997122641535,1.4360993952153702,360.0,1.0,2
1,1,0,0,0,-0.08903235731610788,-0.2706164423535989,-0.2550007835175384,360.0,1.0,1
1,1,1,1,0,-0.019406622664046805,-0.06540857165524729,0.17372883925981872,360.0,0.0,1
1,0,0,0,0,1.571991933595062,-0.5544873301529852,1.1383704905088723,360.0,0.0,1
1,1,0,0,1,0.06791223985253803,0.18426100436108048,0.4476394315897969,360.0,1.0,1
1,1,2,0,0,0.21240611741281537,0.04403562605054023,0.9954606162497532,300.0,1.0,1
0,1,0,0,0,-0.13441195378345122,-0.5544873301529852,-0.7432761872361952,360.0,1.0,0
1,1,0,0,0,-0.2667827622513697,-0.5544873301529852,-0.4336381263414372,360.0,1.0,1
1,1,0,1,0,-0.40734483361953067,-0.3711682989957912,-0.9576409986248737,360.0,1.0,0
1,1,0,1,0,-0.4920424920080379,0.7451625176032415,0.0,180.0,1.0,2
1,1,0,0,0,-0.2746463746356025,0.052585953996304884,-0.1835458463879789,360.0,1.0,1
1,1,0,0,0,0.06840371562655258,-0.5544873301529852,-0.028726815940599934,360.0,1.0,2
1,0,0,0,0,-0.2027270863714735,-0.5544873301529852,-0.5765480006005563,360.0,0.0,1
1,1,2,0,0,-0.27628462721565095,-0.5544873301529852,-0.31454656445883805,360.0,1.0,1
0,0,0,0,0,-0.14030966307162582,-0.5544873301529852,-0.37409234540013764,360.0,1.0,1
1,1,2,0,0,-0.06609682119542894,-0.5544873301529852,-0.8861860614953142,360.0,0.0,1
0,0,1,0,0,-0.3051178726245045,-0.5544873301529852,-0.4098198139649174,360.0,1.0,1
1,0,0,1,0,0.2260036138272179,-0.5544873301529852,-0.19545500257623882,360.0,1.0,1
1,1,0,1,0,-0.45927744040706797,0.09909973802126458,-0.3621831892118777,360.0,0.0,1
1,1,0,0,0,-0.5359476611533376,-0.010344459684522937,-0.6003663129770761,360.0,1.0,1
1,1,0,0,0,-0.588863219488904,0.08439317395454939,-0.6718212501066356,360.0,1.0,2
1,1,1,0,0,-0.4347036517063405,0.07550083289095415,-0.37409234540013764,360.0,1.0,1
1,1,0,0,0,-0.2764484524736558,-0.5544873301529852,-1.2434607471431118,180.0,1.0,0
1,1,1,0,0,0.04022577124971845,-0.5544873301529852,-1.219642434766592,360.0,1.0,2
0,1,2,0,0,-0.6594719056889942,0.088839344486347,0.24518377638937824,360.0,1.0,2
1,1,3,0,0,0.38278438573785895,-0.5544873301529852,-0.21927331495275867,180.0,1.0,2
0,0,0,1,0,-0.5226778152549447,-0.5544873301529852,-0.9576409986248737,360.0,1.0,0
1,0,0,1,1,0.06496338520845074,-0.5544873301529852,-0.17163669019971897,360.0,1.0,1
1,1,2,0,1,1.9817189038651908,-0.5544873301529852,3.02001716825394,360.0,1.0,0
0,0,0,0,0,-0.49564664768414457,-0.5544873301529852,-1.195824122390072,360.0,1.0,0
1,1,2,0,0,-0.002041145315532749,-0.5544873301529852,-0.19545500257623882,360.0,1.0,2
1,1,0,0,0,-0.31232618397671785,0.11722643326628564,-0.3621831892118777,360.0,1.0,0
1,1,0,0,0,-0.512520649258644,0.152453784402836,0.0,360.0,1.0,2
1,1,0,1,1,-0.4578030130850243,0.6251159132447058,0.2213654640128584,180.0,0.0,0
0,1,0,0,0,-0.28447589011589347,-0.055490191238160284,-0.028726815940599934,360.0,1.0,1
1,1,3,1,0,-0.10623400940661709,-0.5544873301529852,-0.612275469165336,342.0,0.0,1
1,1,0,1,0,-0.5870611416508507,0.05053387528932137,-0.612275469165336,360.0,1.0,0
